genre,platform,org_type,grade,year,dev_history,description,reclassified,gametitle
퍼즐,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,Charming Secret
슈팅,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,사행성",0,STALZONE
스포츠,콘솔,중소,12세이용가,2026,없음,폭력성,0,EA SPORTS™ NHL 27
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,마녀의 아뜰리에
액션,구글플레이,중소,전체이용가,2026,없음,폭력성,0,깡총 히어로
기타,구글플레이,중소,전체이용가,2026,없음,,0,지도퀴즈
어드벤처,PC (Steam),대형사,청소년이용불가,2026,없음,"폭력성,공포,언어",0,마우스워싱 (Mouthwashing)
액션,PC (Steam),대형사,청소년이용불가,2026,없음,"약물,범죄",0,벅샷 룰렛 (Buckshot Roulette)
RPG,PC (Steam),중소,청소년이용불가,2026,없음,폭력성,0,혈풍
액션,PC (Steam),중소,전체이용가,2026,없음,"폭력성,공포",0,Rayman Legends Retold(레이맨 레전드 리톨드)
시뮬레이션,PC (Steam),대형사,청소년이용불가,2026,없음,폭력성,0,God Save Birmingham (갓 세이브 버밍엄)
액션,PC (Steam),중소,전체이용가,2026,없음,,0,Rayman Origins: Enhanced Edition(레이맨 오리진 인핸스드 에디션)
어드벤처,PC (Steam),대형사,청소년이용불가,2026,없음,폭력성,0,진홍 서약 (Crimson Oath)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,오늘도 마법진
시뮬레이션,PC (Steam),중소,12세이용가,2026,없음,"선정성,약물",0,약사의 혼잣말 후궁이문록
슈팅,PC (Steam),중소,12세이용가,2026,없음,선정성,0,Magical Hero Girl Shot!
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Tile Pair Match
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,ELIXIR DROP
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,STARLINE PINBALL
스포츠,PC (Steam),중소,전체이용가,2026,없음,,0,Archery Champion
스포츠,PC (Steam),중소,전체이용가,2026,없음,,0,Carom Champion
어드벤처,PC (Steam),중소,15세이용가,2026,없음,폭력성,0,Silent Trigger
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,라인 투 문
퍼즐,PC (Steam),중소,12세이용가,2026,없음,"폭력성,언어",0,존맛히어로즈
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,가가 두더진가!
액션,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,You Ain’t the Hero
RPG,콘솔,중소,청소년이용불가,2026,없음,"폭력성,언어",0,The Relic : First Guardian
RPG,콘솔,중소,15세이용가,2026,없음,선정성,0,Xenoblade Chronicles 2 Nintendo Switch 2 Edition(제노블레이드 크로니클스 2 Nintendo Switch 2 Edition)
시뮬레이션,콘솔,중소,전체이용가,2026,없음,,0,Solarpunk
기타,구글플레이,중소,전체이용가,2026,없음,,0,펀쌤 학습
기타,기타,중소,청소년이용불가,2026,없음,,0,Ddo Ddo WORLD
기타,기타,중소,청소년이용불가,2026,없음,,0,KOSING＋
기타,기타,중소,전체이용가,2026,없음,,0,깨비깨비 2 (GGAEBI GGAEBI 2)
기타,기타,중소,전체이용가,2026,없음,,0,winwinclip
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,훈수맞고
RPG,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,ZEUS 제우스: 오만의 신
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,포커 월드 - 텍사스 홀덤 ＆ 세븐오디
스포츠,콘솔,중소,전체이용가,2026,없음,,0,EA SPORTS™ Madden NFL 27
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,매칭 넘버: 숫자 퍼즐 게임
기타,기타,중소,전체이용가,2026,없음,,0,CUTTING DUCK
기타,기타,중소,전체이용가,2026,없음,,0,winwin1
기타,기타,중소,전체이용가,2026,없음,,0,winwin2
스포츠,기타,중소,전체이용가,2026,없음,,0,HUNTER DOG Z
퍼즐,기타,중소,전체이용가,2026,없음,,0,PUMP IT UP PHOENIX2
기타,기타,중소,전체이용가,2026,없음,,0,COLOR STAR T
기타,기타,중소,전체이용가,2026,없음,,0,COLOR STAR P
기타,기타,중소,전체이용가,2026,없음,,0,COLOR STAR C
기타,기타,중소,전체이용가,2026,없음,,0,UFO GAME 3
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,"PokerMade 포커메이드 (블랙잭, 바카라,슬롯) (PC)"
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,"PokerMade 포커메이드 (로우바둑이,홀덤) (PC)"
RPG,구글플레이,중소,15세이용가,2026,없음,"선정성,사행성",0,각성소녀: 욕망의 여정
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,피망 뉴맞고 : 시즌레이스 보물찾기
슈팅,구글플레이,중소,청소년이용불가,2026,없음,폭력성,0,Sniper 3D
슈팅,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,그녀와 미사일 피하기 7
퍼즐,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,그녀와 클레이 사격 7
RPG,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,바람의기사단
어드벤처,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,Tales: Ink Guardian (테일즈: 잉크 가디언)
어드벤처,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,마법 지팡이의 전설
RPG,PC (Steam),중소,전체이용가,2026,없음,,0,킬몬스터RPG
전략,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,럭키 히어로즈
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,찾아라! 동물 친구들
시뮬레이션,PC (Steam),중소,전체이용가,2026,없음,,0,토깽이 레스토랑 : 감성 힐링 타이쿤
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,비즈 콕콕
RPG,PC (Steam),중소,12세이용가,2026,없음,사행성,0,키르카나
시뮬레이션,PC (Steam),중소,청소년이용불가,2026,없음,선정성,0,경찰특공대 하렘전쟁
액션,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,Cruel Fable
액션,PC (Steam),중소,전체이용가,2026,없음,,0,로튼 이스케이프
액션,콘솔,중소,12세이용가,2026,없음,폭력성,0,Gunvolt Chronicles: Luminous Avenger iX 1＋2 듀얼 컬렉션
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,,0,식물 키우기
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,폭력성,0,종말특공대
기타,기타,중소,청소년이용불가,2026,없음,,0,경찰특공대 하렘전쟁
RPG,PC (Steam),중소,청소년이용불가,2026,없음,폭력성,0,메모리스: 포세이큰 바이 라이트 (MEMOLITH: Forsaken by Light)
액션,PC (Steam),대형사,12세이용가,2026,없음,폭력성,0,Project ZETA
RPG,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,선정성,언어,약물",0,ZERO PARADES: For Dead Spies (제로 퍼레이드: 포 데드 스파이)
퍼즐,PC (Steam),중소,청소년이용불가,2026,없음,선정성,0,이세계 서바이버
시뮬레이션,PC (Steam),중소,전체이용가,2026,없음,,0,레드존 : 로그라이크 배틀로얄
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Denshattack!(덴샤어택!)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,LinkPlay(링크플레이)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,SlideOut
기타,PC (Steam),중소,전체이용가,2026,없음,,0,Solitaire Quest
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,TriviaNation
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,KittyMatch
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Dragon Egg Master
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,One Shot Tower
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Tanks
슈팅,콘솔,중소,청소년이용불가,2026,없음,"폭력성,언어",0,콜 오브 듀티: 블랙 옵스 II
슈팅,콘솔,중소,청소년이용불가,2026,없음,"폭력성,언어",0,콜 오브 듀티: 블랙 옵스
액션,구글플레이,중소,전체이용가,2026,없음,폭력성,0,쿵푸 클래시
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,,0,마이드림키친
액션,구글플레이,중소,전체이용가,2026,없음,폭력성,0,강철사령부
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,왁뿌왁뿌
기타,기타,중소,전체이용가,2026,없음,,0,ZEMNA mini 2 ＋
기타,기타,중소,전체이용가,2026,없음,,0,Rainbow mini 2
기타,기타,중소,청소년이용불가,2026,없음,,0,"럭키비키 - 슬롯, 채팅"
퍼즐,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,그녀와 함께 슬라이딩 퍼즐 5
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,도시 재벌 고스톱
액션,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,공포,언어,약물",0,Resonance: A Plague Tale Legacy (레저넌스: 플래그 테일 레거시)
RPG,PC (Steam),중소,12세이용가,2026,없음,"폭력성,언어,약물",0,드래곤 퀘스트 몬스터즈 4 메마른 나라의 비앙카와 플로라
RPG,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,선정성,언어,범죄",0,Fable(페이블)
어드벤처,PC (Steam),중소,15세이용가,2026,없음,폭력성,0,다음 역은 없습니다 데모
액션,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,ALBERO
액션,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,리로디안(Reloadian)
RPG,PC (Steam),중소,15세이용가,2026,없음,"언어,범죄",0,데몬즈 나이트 피버
스포츠,PC (Steam),중소,전체이용가,2026,없음,,0,Virtual Taekwondo Championship
퍼즐,PC (Steam),중소,청소년이용불가,2026,없음,선정성,0,후타나리 아파트
RPG,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,에셋온라인
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,파우팝 매치
RPG,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,패시브 마스터 키우기
시뮬레이션,콘솔,중소,청소년이용불가,2026,없음,선정성,0,판타지스타 아스카
어드벤처,콘솔,중소,15세이용가,2026,없음,언어,0,Afterlove EP
어드벤처,콘솔,중소,청소년이용불가,2026,없음,폭력성,0,월희 -A piece of blue glass moon-
기타,구글플레이,중소,전체이용가,2026,없음,폭력성,0,가로세로땅따먹기
기타,기타,중소,청소년이용불가,2026,없음,,0,CIRCLE CATCHER (써클 캐쳐)
기타,기타,중소,청소년이용불가,2026,없음,사행성,0,HUNTERD
기타,기타,중소,전체이용가,2026,없음,,0,PUSH DUCK 4P
기타,기타,중소,전체이용가,2026,없음,,0,ZEMNA ＋
기타,기타,중소,전체이용가,2026,없음,,0,ZEMNA 3 ＋
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,POKER LULU - 토너먼트
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,HOOLADA(훌라다)
기타,기타,중소,청소년이용불가,2026,없음,,0,PPPoker - NLH PLO OFC
기타,기타,중소,청소년이용불가,2026,없음,,0,PPPoker - SNG MTT
액션,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,Modern Warships (현대 전함)
전략,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,월드 마스터 (World Master)
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,바다번개(The SEA of LIGHTNING)
RPG,구글플레이,중소,12세이용가,2026,없음,사행성,0,Choice Battle(초이스 배틀)
RPG,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,선정성,언어,약물",0,The Expanse: Osiris Reborn
RPG,PC (Steam),중소,12세이용가,2026,없음,"폭력성,선정성",0,FINAL FANTASY RESONANCE
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,SPEED 가위바위보
퍼즐,구글플레이,개인,전체이용가,2026,없음,,0,토스트를 네 입에 토쓰
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,번쩍 두뇌
퍼즐,구글플레이,중소,12세이용가,2026,없음,선정성,0,땅따먹기 클래식
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,,0,응애 신령 키우기
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,젬젬매치
기타,기타,중소,청소년이용불가,2026,없음,,0,win win clip
기타,기타,중소,청소년이용불가,2026,없음,,0,winwin1
기타,기타,중소,청소년이용불가,2026,없음,,0,winwin2
퍼즐,기타,중소,전체이용가,2026,없음,,0,Twist Fun
기타,기타,중소,전체이용가,2026,없음,,0,Bling POP 4
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,슬롯 퀘스트 프로 - Slot Quest Pro
기타,구글플레이,중소,청소년이용불가,2026,4회 이상,사행성,0,한게임 로우바둑이
RPG,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,킹덤2: 타오르는 전장
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,Happiz POP
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,스도쿠 마스터
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,분식대란
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,팡버블팡
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,,0,전세 탈출
퍼즐,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,크루세이더 퀘스트 : 히어로 타운 (Crusaders Quest : Hero Town)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,점프런
어드벤처,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,Minecraft Dungeons II(마인크래프트 던전스 II)
시뮬레이션,PC (Steam),대형사,청소년이용불가,2026,없음,선정성,0,조용한 구석
RPG,PC (Steam),대형사,청소년이용불가,2026,없음,선정성,0,히간: 이루실
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,2048 Quest
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Territory Rush
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Snake Quest
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,Brick Breaker Blitz
스포츠,콘솔,중소,전체이용가,2026,없음,,0,Fitness Boxing 3: Your Personal Trainer Nintendo Switch 2 Edition(피트니스 복싱 3: 유어 퍼스널 트레이너 닌텐도 스위치 2 에디션)
전략,구글플레이,중소,전체이용가,2026,없음,폭력성,0,치킨삼국전
기타,기타,중소,전체이용가,2026,없음,,0,ZEMNA MINI 4 ＋
기타,기타,중소,전체이용가,2026,없음,,0,Joy Player ＋
기타,기타,중소,전체이용가,2026,없음,,0,돌하우스 박스(Doll House Box)
기타,기타,중소,전체이용가,2026,없음,,0,돌하우스 플러스(Doll House plus)
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,OBADA(오바다)
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,어시장
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,"PokerMade 포커메이드 (로우바둑이,홀덤,슬롯)"
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,카지노레이드 포커 – CasinoRaid Poker
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,도토리 맞고: 레벨대전
시뮬레이션,PC (Steam),중소,15세이용가,2026,없음,"폭력성,약물",0,Road To Empress Ⅱ
전략,PC (Steam),중소,15세이용가,2026,없음,"폭력성,언어",0,스타워즈 제로 컴퍼니™ (Star Wars Zero Company™)
어드벤처,콘솔,중소,15세이용가,2026,없음,공포,0,사신 공주와 이서관의 괴물
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,암산의 신
퍼즐,구글플레이,중소,12세이용가,2026,없음,폭력성,0,PetLand(팻렌드)
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,식물 운빨 디펜스
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,솔리테어 시티 저니 (Solitaire City Journey)
어드벤처,구글플레이,중소,전체이용가,2026,없음,,0,탕탕 스네이크
기타,구글플레이,중소,전체이용가,2026,없음,,0,업다운 한수
기타,구글플레이,중소,전체이용가,2026,없음,,0,타로 카드 배틀
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,케이크 플레이
RPG,PC (Steam),중소,전체이용가,2026,없음,폭력성,0,레이어 랜드
어드벤처,PC (Steam),중소,12세이용가,2026,없음,"폭력성,공포",0,CODE EXIT
액션,PC (Steam),중소,청소년이용불가,2026,없음,폭력성,0,Castlevania: Belmont’s Curse (캐슬바니아 : 벨몬트의 저주)
액션,PC (Steam),중소,15세이용가,2026,없음,폭력성,0,ACE COMBAT 8: WINGS OF THEVE (에이스 컴뱃 8: 시브의 날개)
어드벤처,PC (Steam),중소,12세이용가,2026,없음,"폭력성,공포",0,QUIET
RPG,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,선정성,공포,언어,범죄",0,The Blood of Dawnwalker(더 블러드 오브 던워커)
기타,PC (Steam),중소,전체이용가,2026,없음,,0,세페리아 매트릭스
어드벤처,PC (Steam),중소,15세이용가,2026,없음,"폭력성,언어",0,Come to my party!
RPG,PC (Steam),중소,12세이용가,2026,없음,"폭력성,선정성",0,패왕의별
시뮬레이션,PC (Steam),중소,청소년이용불가,2026,없음,선정성,0,핏빛 비가 내린 날
슈팅,콘솔,중소,청소년이용불가,2026,없음,"폭력성,공포,언어",0,Gears of War: E-Day(기어스 오브 워: E-데이)
RPG,콘솔,중소,15세이용가,2026,1회,선정성,0,페르소나4 리바이벌
액션,콘솔,중소,12세이용가,2026,없음,"폭력성,선정성",0,70년대풍 로봇 만화 영화 겟피-X
액션,콘솔,중소,청소년이용불가,2026,없음,"폭력성,공포",0,Mortal Shell 2
액션,콘솔,중소,전체이용가,2026,없음,,0,TUMBLEPOP: MEMORIES
퍼즐,구글플레이,중소,12세이용가,2026,없음,선정성,0,Hollywood Crush
기타,기타,중소,전체이용가,2026,4회 이상,,0,Cuk Gift Box(콕 기프트 박스)
기타,기타,중소,전체이용가,2026,없음,,0,New Smile Toy Ⅲ
기타,PC (Steam),중소,청소년이용불가,2026,2~3회,사행성,0,Da vinci 3
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,"PokerMade 포커메이드 (블랙잭, 바카라)"
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,Runner Poker-토너먼트
RPG,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,CHAOS WORLD
RPG,PC (Steam),중소,15세이용가,2026,없음,폭력성,0,투신 봉마록
어드벤처,PC (Steam),중소,15세이용가,2026,없음,"폭력성,사행성,언어",0,Marvel＇s Guardians of the Galaxy (마블즈 가디언즈 오브 갤럭시)
퍼즐,구글플레이,대형사,전체이용가,2026,없음,,0,무한의 알캐치
퍼즐,구글플레이,중소,12세이용가,2026,없음,선정성,0,Hollywood Merge
슈팅,구글플레이,중소,12세이용가,2026,없음,폭력성,0,VOID SURVIVAL
기타,기타,중소,전체이용가,2026,없음,,0,LUCKY 7 TIME (럭키 세븐 타임)
기타,기타,중소,전체이용가,2026,없음,,0,대빵 미니1(DAEPPANG MINI1)
기타,기타,중소,전체이용가,2026,없음,,0,마스터킹 미니1(MASTERKING MINI1)
기타,기타,중소,전체이용가,2026,없음,,0,퍼니랜드 미니1(FUNNY LAND MINI1)
기타,기타,중소,전체이용가,2026,없음,,0,mimi Catcher play4
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,신봤다
전략,구글플레이,중소,청소년이용불가,2026,없음,폭력성,0,Kiss of War
시뮬레이션,구글플레이,중소,15세이용가,2026,없음,"언어,범죄",0,평범한날 : 청하구편
RPG,구글플레이,대형사,청소년이용불가,2026,없음,선정성,0,메이크 드라마 : MAD (MAke Drama : MAD)
퍼즐,구글플레이,중소,청소년이용불가,2026,없음,선정성,0,그녀를 구해줘 11
퍼즐,구글플레이,개인,전체이용가,2026,없음,,0,별빛 유리 퍼즐
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,사과를사각
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,사각구슬팡
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,스틱맨 대전
어드벤처,PC (Steam),중소,12세이용가,2026,없음,선정성,0,TAKE OUT (테이크 아웃)
어드벤처,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,공포",0,The Sinking City 2 (싱킹 시티 2)
RPG,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,공포",0,디아블로 IV: 증오의 군주
스포츠,PC (Steam),중소,전체이용가,2026,없음,,0,PROFESSIONAL BASEBALL SPIRITS 2026 (프로야구 스피리츠 2026)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,기억마을 꿈의 조각
슈팅,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,포트나이트 엔드게임 (Fortnite Endgame)
격투,콘솔,중소,15세이용가,2026,없음,"폭력성,언어",0,MARVEL Tōkon: Fighting Souls (마블 투혼: 파이팅 소울즈)
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,착착블록정리
기타,기타,중소,청소년이용불가,2026,없음,,0,꽃노리2
기타,기타,중소,청소년이용불가,2026,없음,사행성,0,龍의눈물(용의눈물)
기타,기타,중소,청소년이용불가,2026,없음,"폭력성,사행성",0,바다야(바다夜)
기타,기타,중소,청소년이용불가,2026,없음,사행성,0,복(福) POKER
기타,기타,중소,전체이용가,2026,없음,,0,UFO CATCHER 10＋
기타,기타,중소,청소년이용불가,2026,없음,사행성,0,불타는황금성2
기타,기타,중소,전체이용가,2026,없음,,0,BLAST D
기타,기타,중소,청소년이용불가,2026,없음,사행성,0,5Dragons Pearl
기타,기타,중소,전체이용가,2026,없음,,0,VOLCANO 2
기타,기타,중소,전체이용가,2026,없음,,0,PANGPANG TOY
기타,기타,중소,전체이용가,2026,없음,,0,PANGPANG TOYMINI
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,WPL-코인러시
어드벤처,PC (Steam),중소,청소년이용불가,2026,없음,폭력성,0,Once Human
액션,콘솔,중소,12세이용가,2026,없음,"폭력성,약물",0,Orbitals
스포츠,콘솔,중소,전체이용가,2026,없음,,0,EA SPORTS™ College Football 27
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,동물합치기
기타,구글플레이,중소,전체이용가,2026,없음,,0,전국민의 369
기타,기타,중소,청소년이용불가,2026,없음,,0,POKER LULU - 토너먼트
기타,기타,중소,전체이용가,2026,없음,,0,The Play 4＋(더플레이4＋)
기타,기타,중소,전체이용가,2026,없음,,0,LUCKY 10 TIME (럭키 텐 타임)
기타,기타,중소,전체이용가,2026,없음,,0,PRIZE X (프라이즈 엑스)
스포츠,기타,중소,전체이용가,2026,없음,,0,SPEED TOUCH 3 BLACK (스피드터치3 블랙)
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,오리＆오리
RPG,PC (Steam),중소,15세이용가,2026,없음,"폭력성,선정성",0,Chasing Kaleidorider
시뮬레이션,콘솔,중소,12세이용가,2026,없음,약물,0,문라이트 피크스 -Moonlight Peaks-
격투,콘솔,중소,청소년이용불가,2026,없음,"폭력성,언어",0,EA SPORTS™ UFC™ 6
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,SWITCH LASER(스위치 레이저)
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,포마이닝(4Mining)
어드벤처,PC (Steam),중소,15세이용가,2026,없음,폭력성,0,스테퍼 레트로: 초능력 추리 퀘스트
RPG,PC (Steam),중소,12세이용가,2026,없음,"폭력성,선정성",0,마계강림
슈팅,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,언어",0,헤일로: 캠페인 이볼브드(Halo: Campaign Evolved)
퍼즐,PC (Steam),중소,전체이용가,2026,없음,,0,막아라! 퀑크!
RPG,PC (Steam),중소,12세이용가,2026,없음,"폭력성,선정성,범죄",0,이세계는 스마트폰과 함께. 판타지아 커넥트
액션,PC (Steam),중소,12세이용가,2026,없음,폭력성,0,열혈서유기 천축난투편
어드벤처,PC (Steam),중소,청소년이용불가,2026,없음,"폭력성,공포,언어",0,SILENT HILL townfall (사일런트 힐 타운폴)
전략,콘솔,중소,12세이용가,2026,없음,폭력성,0,Against the Storm (어게인스트 더 스톰)
액션,콘솔,중소,청소년이용불가,2026,없음,"폭력성,언어",0,Kusan: City of Wolves 쿠산: 늑대들의 도시
어드벤처,콘솔,중소,전체이용가,2026,없음,폭력성,0,Culdcept BEGINS
어드벤처,콘솔,중소,12세이용가,2026,없음,"선정성,공포",0,Culdcept The First
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,올드시
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,"로얄 게임 PC (포커,바둑이,홀덤)"
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,"로얄 게임 PC (바카라,블랙잭,고스톱)"
기타,기타,중소,청소년이용불가,2026,없음,,0,슬롯 퀘스트 프로 - Slot Quest Pro
기타,기타,중소,청소년이용불가,2026,없음,,0,코레바
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,재밌는바둑이
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,"로얄 게임 (포커,바둑이,홀덤)"
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,"로얄 게임 (바카라,블랙잭,고스톱)"
시뮬레이션,PC (Steam),중소,전체이용가,2026,없음,,0,UFL
액션,콘솔,중소,청소년이용불가,2026,없음,폭력성,0,Armatus
RPG,구글플레이,중소,전체이용가,2026,없음,폭력성,0,레인저스 키우기
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,내 두뇌 몇 등?
어드벤처,구글플레이,중소,12세이용가,2026,없음,"폭력성,공포",0,초자연 작전팀
기타,기타,중소,전체이용가,2026,없음,,0,LUKY VIKY Ⅰ
기타,기타,중소,전체이용가,2026,없음,,0,LUKY TWIN
기타,기타,중소,전체이용가,2026,없음,,0,JOY KING
기타,기타,중소,전체이용가,2026,없음,,0,GALAXY STATION
