등급분류번호,게임물명,제작자,자체등급,자체등급분류사업자,결정일자,구분,결정등급
RE-OM-240704-028,불멸의 깨어남,NEOCRAFT LIMITED,12세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-029,Prachanda : Shiva game Mahakal,Crevolve Studio,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-030,Muscle Gun FPS Online Shooter,ozgur hazar,12+,Apple,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-031,忍者刺客-跳?格斗 游?,fanchao li,9+,Apple,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-032,Zombie Games: Zombie Nuke,Riv3r,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-033,Gun Games Simulator Gunshot 3D,Fun Tengu Games,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-034,Zombie train: endless express,RDVIndieGa mes,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-035,War Robot Game: Battle Shooter,Fun Battle Fire Games,12세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-036,FPS Assault - Commando Strike,Global Games Studios,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-037,Modern FPS Military Strike,SQUAD CELL,12세이용가,Samsung Eelctronics,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-038,Gangster Miami Crime City,Boom Bam Co,전체이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-039,Zombie Ranch Simulator,BearBobStu dio,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-040,Counter Terrorist Fps Shooting Games: Gun Games 3d,Happy Family Studio,15세이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-041,FPS Commando Secret Mission - Zombie Shooting Game,Awais Naseer,12세이용가,Samsung Eelctronics,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-042,Sniper Shooter Jungle Animal Hunter,World of Web- WOW,전체이용가,Google Play,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-043,Balatro,Playstack Ltd,전체이용가,닌텐도,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240704-044,Balatro,Playstack Ltd,전체이용가,Microsoft,2024-07-04,직권등급재분류,청소년이용불가
RE-OM-240718-001,Dreamland,ZMVR Studio,전체이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-002,Nova Sol Marine,Exystem,12세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-003,Samurai VR,Clique Boom,15세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-004,One More Dungeon 2,Ratalaika Games,12세이용가,Microsoft,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-005,Army Action- FPS Shooter Ramp,Kaushik Dutta,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-006,Sword Master,10Line Media,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-007,Evacuation - Survival Shooter,Nepochat,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-008,Sniper Shooting Gun 3D Game,Muhammad Arfan,12+,Apple,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-009,Shinobi no mono - Preface,Iskis,12세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-010,Let Them Come,"Versus Evil, LLC.",15세이용가,Microsoft,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-011,Gun War: Target Shooting Game,My Storm Studio,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-012,Haunted Island Survival,Blackfoot Games,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-013,Ninja Assassin Shadow Master: Creed Fighter Games,Climax Game Studios,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-014,Payback Time: Story of Revenge,Lina Games INC.,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-015,Call of Fire Duty: WW2 Shooter,Fun Racing Action Games,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-016,Sniper Ops: Gun shooting Game,Gaminals,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-017,Zombie Attack Sniper Survival,Rocinante Games,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-018,Counter Terrorist War Strike,Fun Gamez Hub 2021,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-019,Gangster Anime Girl Vegas City,Shafqat Ullah cheema,12+,Apple,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-020,Shadow Hunter: Lost Worlds,EA Publishing,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-021,Dark Steel,Dark Curry,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-022,Gangster Mafia Crime City War Fighting Games GT Gangster: Dude Mafia Theft Gangster Game,PLAY ZEE,전체이용가,Samsung Eelctronics,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-023,Superhero Police Gangster Game,Gaming Mob,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-024,Stickman Warfare Battle Strike,Andrey Bojko,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-025,Crimen - Mercenary Tales,Carbon Studio,15세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-026,Army Men: Toy Soldier Battles,PeekJoy Interactive,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-027,Arcade Games,Tap Tap Droid,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-028,World War 2 Fps Shooting Games,FunLand Games Studio,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-029,Battle Royale Dude: Open World,Open Third World Shooter Wars,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-030,Shooters Sniper Survival Games,Game Bus Studios,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-031,Grand Gangster Hero Bike Sim,Horizon Games Lab,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-032,Sniper Assassin,FunnyMiniG ames,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-033,Xuan-Yuan Sword VII,SOFTSTAR INTERTAINM ENT INC.,15세이용가,스마일게이트홀딩스,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-034,Call of War WW2 Sniper Duty,Mini Boss Gunfire Games,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-035,BattleShootout,7Seas Entertainme nt Limited,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-036,Cover Fire Shooter,LightOne,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-037,Still Alive,Fake Souls,12세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-038,Super Sniper,City Games PLUS,전체이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-039,Counter Attack On Zombies,TNR Game Studio,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-040,Rift Rapture,Quiz & Trivia Games by Mno Go Apps,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-041,Cover Attack Tactical Strike,Hyper Watcher,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-042,"Gangster Vegas Simulator: Real Gangster Mafia fighting games. Be a mafia king, meet the best free games to rule the crime city in gang games offline.",TERAFORT LIMITED,12세이용가,Samsung Eelctronics,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-043,Online Gaming - Best Arcade Games - All in one Game,MUHAMMAD TANVEER,12세이용가,Samsung Eelctronics,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-044,Mega Jackpot Bingo,"Chongqing Baigang Technology Co., Ltd",12세이용가,Samsung Eelctronics,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-045,"Online Slots - True Casino, Real Wins. Make your bets, win a jackpot. Get bonuses, make wild profit.",SEMIANCHU K ANDRII STEPANOVY CH,15세이용가,Samsung Eelctronics,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-046,아리메이트 - AI 여자친구와 데이트,Kiyeop Yang,15세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-047,Mediterranea Inferno,Santa Ragione,15세이용가,Microsoft,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-048,Thief Simulator VR: Prologue,3R Games,15세이용가,Oculus,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-049,MadOut2 Big City Online,Ivanchuk Vladislav,12세이용가,Google Play,2024-07-18,직권등급재분류,청소년이용불가
RE-OM-240718-050,짤툰 골목식당 키우기,"Buff Studio Co.,Ltd.",전체이용가,Google Play,2024-07-18,등급조정,12세이용가
RE-OM-240718-051,짤툰 골목식당 키우기,"Buff Studio Co.,Ltd.",9+,Apple,2024-07-18,등급조정,12세이용가
-,Explore Giants,KIMPER LTD,전체이용가,Samsung Eelctronics,2024-07-04,등급취소,등급취소
-,Fruits Tap,You Xuan,전체이용가,Google Play,2024-07-04,등급취소,등급취소
-,Coin Blitz: Mines with Plinko,INFOTRONI CS BUSINESS SYSTEMS,4+,Apple,2024-07-04,등급취소,등급취소
-,Agent007 - Shoot the Boss!,Gamile,전체이용가,Google Play,2024-07-04,등급취소,등급취소
-,[BETA] 포털낚시,윤용현,전체이용가,원스토어,2024-07-04,등급취소,등급취소
-,Sueca Card Game,OEngines Games LLP,12+,Apple,2024-07-04,등급취소,등급취소
-,Mega Bingo,HongKong FeiFire Technology LIMITED,12세이용가,Samsung Eelctronics,2024-07-04,등급취소,등급취소
-,Poker Full House Offline,FunFuseGa mes,15세이용가,Google Play,2024-07-04,등급취소,등급취소
-,JinCash Monney,JIN MONNEY,전체이용가,Google Play,2024-07-04,등급취소,등급취소
-,메이드의 우울,김정수,15세이용가,스마일게이트홀딩스,2024-07-18,등급취소,등급취소
-,Free Casino Games: Vegas Slots 777,SSP Digital vl Sasa Radulovic,15세이용가,Samsung Eelctronics,2024-07-18,등급취소,등급취소
-,Sports Royal,Doubleme1,전체이용가,Oculus,2024-07-18,등급취소,등급취소
-,Lava Slots - Casino Games,TFUN INTERNATIO NAL LIMITED,12세이용가,Samsung Eelctronics,2024-07-18,등급취소,등급취소
-,Samurai Puzzle - Earn Crypto,Orim Games,전체이용가,Google Play,2024-07-18,등급취소,등급취소
-,Resident Evil 7 Puzzle - P2E,Orim Games,전체이용가,Google Play,2024-07-18,등급취소,등급취소
-,Tabletop,SUPLIFE PTE,전체이용가,Oculus,2024-07-18,등급취소,등급취소
-,머니먼치,에드플레이,전체이용가,Google Play,2024-07-18,등급취소,등급취소
RE-OM-240808-001,Mafia Gangster City Street Sim,Oussama Srifa,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-002,Wild West Shooter Cowboy Game,Sparkle Games Studio,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-003,Sniper Territory,Enax Games,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-004,Sword Fighting Gladiator Games 3D - Shadow Ninja Fight Game 2024 - PvP Ninja Assassin Fighting Games Offline,TW GAMES STUDIO,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-005,Perfect Knife,Entity3,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-006,Mad City 2021,Extereme Games,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-007,FPS Shooting Gun Games 3D: Commando BattleGrounds Shooting Games 2024: Modern Offline Sniper 3d Games,TW GAMES STUDIO,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-008,Best Sniper 3d Game Ultimate 2021: Offline Mission,Mega Entertainme nt LTD,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-009,Real Card Fight,RedLineGa mes,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-010,Doomsday: Last Survivors,IGG SINGAPORE PTE. LTD.,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-011,Ps Games,Bindass Cpt,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-012,Carnivores Dinosaur Hunter 3d,Green Edge Tech,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-013,Save Cop: Shooting Simulator,Hyper Strike Pvt Ltd,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-014,EthioSurvivor,Panda Express Technology,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-015,Autokill Sandbox,Cycling Bear,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-016,Ninja Archery Shooting Games,WestAus Games,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-017,Animal Hunting Sniper Games,Plenteous Games Studios,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-018,3D Sniper Shooting Games 2024,Spark Line Studio,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-019,Battleground Gun Shooting Game,Asad Ur Rehman,12+,APPLE,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-020,FPS Commando Gun Shooting Game: Shooting Games 2024 New Cover Fire: Force War Sniper Strike 3D: BattleGrounds FPS Modern Strike Gun Shooting Games,Muhammad Usama,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-021,Twins'Hunt,EnigmaStudi o,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-022,Camo Shooter: Sniper Attack 3D,Teos Oyun,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-023,Devil sparta 2 [PS2],Kora Dev Tech.,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-024,Zombie War : Defend of City,Hamid Yousefi,15세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-025,Zombie Tower,Virtuarides,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-026,Virtual Sniper,IOTTECH,12세이용가,Oculus,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-027,Air Defence: Planes 3D,Slyuni Lab,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-028,Legend Sniper 3D Action Shooting Game: Offline FPS Sniper Shooter,MOBIFY,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-029,US Police Car Parking Car Game,Nexon Studio,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-030,Zombie Games : Dead Town,MH Entertainme nt,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-031,DEAD Zombies 3D : Zombie Games,Den Gamez,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-032,One vs Many,Seksek Games,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-033,Bank Heist Sim Robbery Game,Aqsa Kamran,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-034,Silent Revenge,Moso Gaming,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-035,TwinsHunt,Denis Ocolitii,12+,APPLE,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-036,Military Run,EditMode,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-037,Auto Cop,Gameloops,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-038,fps cover strike shooting game,Easy games studio,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-039,Fps Gun Games Shooting Offline,Shadowfax Studios,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-040,Counter Terrorist Robot Game,CRADLEY CREATIONS LTD,12세이용가,Samsung Eelctronics,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-041,World War Freedom Fighter Fury,Virtua Play,12세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-042,Jackpot Slot World Spin to Win,Drewski Solana Themed Games,전체이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240808-048,던전스쿼드,주식회사 게임코스터,15세이용가,Google Play,2024-08-08,직권등급재분류,청소년이용불가
RE-OM-240822-001,WRATH: Aeon of Ruin,Fulqrum Publishing Ltd.,12세이용가,Microsoft,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-002,Super Rope Hero: Flying City,CIEO Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-003,Deer Hunting: FPS Sniper Games,BIGBEN Gaming Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-004,Retro Shooter,Lina Games INC.,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-005,War Sniper: FPS Shooting Game,Mobile Gaming Studios Ltd.,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-006,Army Commando New Game: Fps Game 2020,Game Gallery,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-007,Fps Gun Shooting Mission Games,Game Plan Zero,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-008,Call of Gun Strike 3D: Counter Terrorist Shooting,tap2games,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-009,Headshots only!,Tomogram,15세이용가,Oculus,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-010,Alone in the Dark: The New Nightmare (2001),THQ NORDIC GAMES GMBH,12세이용가,Sony,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-011,Merge and shoot,GTap Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-012,Rabid Rabbit,Vidid,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-013,Zombie Bane : Fun Shooter RPG,Gaia Game Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-014,Theobromines,"Candy Bazaar, Inc.",12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-015,Turbine Terror,Fox and Lion Games,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-016,Street Wars: Gangster Shooter,tcg_games,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-017,FPS Assault Gun Shooting Game,Amentis Studios,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-018,Ragdoll Slash,Maya Gaming,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-019,Sker Ritual: Digital Deluxe Edition,WALES INTERACTIV E LIMITED,15세이용가,Sony,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-020,Zombie Hunter 3D: Shooting War,Masal Games,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-021,헬블레이드 데몬슬레이어,Magic_Ston e,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-022,Zombie Invasion : FPS Defense,Lemondo Entertainme nt,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-023,Gun Action 2 - WW2 PVP/PVE FPS,Enjoy.Game Studio.Fun,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-024,Shadow Spider : City Fighter,Locateli Mobi,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-025,Ninja Slash,Gul Proje Games,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-026,Team Strike: FPS Deathmatch,Eagle Gaming Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-027,Police Prison Escape Jailbreak,Far Action Games,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-028,Silent Zombie Kill Creepy Game,Bonfire66 Studio,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-029,Mini Elon: Stealth Master,Ever Studio,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-030,Sniper War Attack: 3D Shooting,Fire Hero Fun Crazy Games,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-031,FPS commando-Gun shooting game,Night Labs Pro,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-032,Anti-Terrorist Gun War Games,Game Blinders,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-033,Dead Target: Zombie Shooter,Arctic Wolf Studios,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-034,Dream Adventure(Hand Tracking),kfz shj,전체이용가,Oculus,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-035,Fight To The Death Endless FPS,Sharpblade Studios,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-036,American Sniper 3D - Gun Games,TAPNATION,12세이용가,Samsung Eelctronics,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-037,Zombies Death City Shooting,Games Space Studio,12세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-038,Dinosaur Hunter - Dinosaur Shooting Games Jurassic World Dinosaur Hunting Games Carnivores Hunting,Connect Technologie s (FZE),15세이용가,Samsung Eelctronics,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-039,Fps Commando Strike Gun Games,Venture Game Studios,15세이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-040,The Final Battle,The Herz Games,전체이용가,Google Play,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240822-041,Thief Simulator VR: Greenview Street,3R Games,15세이용가,Oculus,2024-08-22,직권등급재분류,청소년이용불가
RE-OM-240808-043,Snowbreak: Containment Zone,Seasun Games Pte. Ltd.,12세이용가,Google Play,2024-08-08,등급조정,15세이용가
RE-OM-240808-044,Snowbreak: Containment Zone,Seasun Games Pte. Ltd.,12세이용가,원스토어,2024-08-08,등급조정,15세이용가
RE-OM-240808-045,Snowbreak: Containment Zone,Seasun Games Pte. Ltd.,12+,APPLE,2024-08-08,등급조정,15세이용가
RE-OM-240808-046,Snowbreak: Containment Zone,Seasun Games Pte. Ltd.,12세이용가,에픽,2024-08-08,등급조정,15세이용가
RE-OM-240808-047,캣 판타지 - 300뽑기 증정,FUNTOY,12+,APPLE,2024-08-08,등급조정,15세이용가
RE-OM-240822-044,세븐나이츠 키우기,Netmarble,12세이용가,Google Play,2024-08-22,등급조정,15세이용가
RE-OM-240822-045,세븐나이츠 키우기,Netmarble,12+,APPLE,2024-08-22,등급조정,15세이용가
-,Free 777 Slots: Super Casino Machines,SSP Digital vl Sasa Radulovic,15세이용가,Samsung Eelctronics,2024-08-08,등급취소,등급취소
-,Spin4Cash,Super Lucky Games,전체이용가,Google Play,2024-08-08,등급취소,등급취소
-,Bitcoin Plinko Cash Free,YO INFORMATI ON TECHNOLO GY AND COMMUNIC ATION COMPANY LIMITED,전체이용가,Samsung Eelctronics,2024-08-08,등급취소,등급취소
-,Money Games & Tile Master,QweGames,전체이용가,Google Play,2024-08-08,등급취소,등급취소
-,ASCash - BGMI UC And Cash,App Coins,전체이용가,Google Play,2024-08-08,등급취소,등급취소
-,Farm Link - Connect & Match,Waking up games,전체이용가,Google Play,2024-08-08,등급취소,등급취소
-,Greedy Mole,Gantui Studio,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Redeem Puzzle Challenge,Trenzo Enterprises,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Las Vegas Blackjack: Casino Card Showdown,Novastar Games,전체이용가,Samsung Eelctronics,2024-08-22,등급취소,등급취소
-,Bitcoin Runner,PlayEmber Sp. z o.o.,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Solitaire Ocean,ESP Studio,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Screw Puzzle:Win Real Money,marcbergnle thab,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Angel Big Spin Wheel,Angel Spins,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Water Sort Bitcoin Color Puzzle,VIET NAM TAPBI TECHNOLO GY COMPANY LIMITED,전체이용가,Samsung Eelctronics,2024-08-22,등급취소,등급취소
-,무협지존,Efun Company,12세이용가,Google Play,2024-08-22,등급취소,등급취소
-,무협지존,Efun Company,12세이용가,APPLE,2024-08-22,등급취소,등급취소
-,무협지존,Efun Company,12세이용가,Samsung Eelctronics,2024-08-22,등급취소,등급취소
-,Tile Three Match,sklo,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Earn Money - Water Sort Puzzle,Play Games Real,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,XBOX GIFT CARD,PAL STUDIOS,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Feed The Monster Adventure,MustPlayGa mes,12세이용가,Google Play,2024-08-22,등급취소,등급취소
-,Dog Racing,Phan Tra,전체이용가,Google Play,2024-08-22,등급취소,등급취소
-,Coin Cascade Saga,"Shenzhen Jinli Network Technology Co., Ltd.",12세이용가,Samsung Eelctronics,2024-08-22,등급취소,등급취소
RE-OM-240912-001,Wizardry: Proving Grounds of the Mad Overlord,Digital Eclipse,12세이용가,Microsoft,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-002,"""Comrades, We Have a Mole Problem""",Vridge_glad park,15세이용가,Oculus,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-003,Bigfoot Hunting: Yeti Monster,BEST FREE GAMES TRADING FZ-LLC,12세이용가,Samsung Eelctronics,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-004,Split Second,Robertson Studio Gaming VR,15세이용가,Oculus,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-005,Code of Modern War Gun Shooter,Global Action Fire Games,15세이용가,Google Play,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-006,Robot Warfare Crossfire Battle,Action Addictive Games,12세이용가,Google Play,2024-09-12,직권등급재분류,청소년이용불가
RE-OM-240912-007,Gun Games Offline ? Shooter 3D,Shooter Game Studio - Army Games,15세이용가,Google Play,2024-09-12,직권등급재분류,청소년이용불가
